epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.987,2.51443,2.66416,2.36801,0.67862,0.53441,0.6331,0.46555,2.33436,2.41831,2.20845,3.57e-06,3.57e-06,3.57e-06
2,218.942,2.5223,2.67359,2.39187,0.71162,0.53544,0.64193,0.47639,2.32811,2.36749,2.20242,7.50533e-06,7.50533e-06,7.50533e-06
3,327.013,2.49555,2.56563,2.32068,0.75516,0.53601,0.64916,0.48583,2.31135,2.3259,2.19067,1.04982e-05,1.04982e-05,1.04982e-05
4,437.619,2.43751,2.6692,2.29009,0.69377,0.56218,0.65729,0.49496,2.29759,2.28952,2.18415,1.25486e-05,1.25486e-05,1.25486e-05
5,549.335,2.40392,2.42052,2.27108,0.67722,0.60701,0.68249,0.51162,2.27489,2.24249,2.17048,1.36564e-05,1.36564e-05,1.36564e-05
6,660.512,2.47282,2.51543,2.33597,0.67865,0.62583,0.69182,0.52092,2.25716,2.19898,2.16069,1.38219e-05,1.38219e-05,1.38219e-05
7,773.545,2.29799,2.34241,2.26093,0.66462,0.63424,0.69755,0.52471,2.24386,2.1589,2.15146,1.30448e-05,1.30448e-05,1.30448e-05
8,883.229,2.36571,2.34684,2.3022,0.69185,0.63029,0.70447,0.53233,2.23297,2.11714,2.14694,1.13252e-05,1.13252e-05,1.13252e-05
9,992.892,2.3308,2.26359,2.25894,0.70557,0.62763,0.7039,0.53057,2.21952,2.09738,2.13873,8.6632e-06,8.6632e-06,8.6632e-06
10,1102.18,2.35285,2.26194,2.27596,0.70698,0.63117,0.70912,0.53486,2.21771,2.08319,2.13653,5.05869e-06,5.05869e-06,5.05869e-06
